pair_id,attr,left,right
7,brand,"{""names"":{}}","{""names"":{""primary"":""SushiCo""}}"
7,addresses,"[{""freeform"":""Torenstraat 16"",""locality"":""Ede"",""region"":"""",""country"":""NL"",""postcode"":""6711 AN""}]","[{""freeform"":""Torenstraat 16"",""locality"":""Ede"",""postcode"":""6711 AN"",""country"":""NL""}]"
8,names,"{""primary"":""NextCare Urgent Care Gastonia""}","{""primary"":""NextCare Urgent Care Gastonia""}"
8,categories,"{""primary"":""doctor"",""alternate"":[""medical_center"",""urgent_care_clinic"",""health_and_medical""]}","{""primary"":""doctor"",""alternate"":[""medical_center"",""urgent_care_clinic"",""health_and_medical""]}"
8,confidence,0.77,0.77
8,websites,"[""https://nextcare.com/locations/nc/gastonia/""]","[""https://nextcare.com/locations/nc/gastonia/""]"
8,socials,,
8,emails,,
8,phones,"[""7042154057""]","[""7042154057""]"
8,brand,"{""names"":{}}","{""names"":{}}"
8,addresses,"[{""freeform"":""3680 Robinwood Rd"",""locality"":""Gastonia"",""region"":""NC"",""country"":""US"",""postcode"":""28054""}]","[{""freeform"":""3680 Robinwood Rd"",""locality"":""Gastonia"",""region"":""NC"",""country"":""US"",""postcode"":""28054""}]"
9,names,"{""primary"":""BP""}","{""primary"":""BP""}"
9,categories,"{""primary"":""car_wash"",""alternate"":[""gas_station"",""automotive""]}","{""primary"":""gas_station"",""alternate"":[""energy_company"",""auto_detailing""]}"
9,confidence,0.77,0.9872500778573653
9,websites,"[""https://www.bp.com/es_es/spain/home/productos-y-servicios/para-su-vehiculo/estaciones-de-servicio-bp.html""]","[""https://www.bp.com/es_es/spain/home.html""]"
9,socials,,"[""https://www.facebook.com/2023469851040046""]"
9,emails,,
9,phones,"[""966400784""]","[""+34966400784""]"
9,brand,"{""names"":{}}","{""names"":{""primary"":""bp""}}"
9,addresses,"[{""freeform"":""Avenida de Oliva S/n, Pego"",""locality"":""Alicante"",""region"":"""",""country"":""ES"",""postcode"":""03780""}]","[{""freeform"":""Avenida de Oliva"",""locality"":""Alicante"",""postcode"":""03780"",""country"":""ES""}]"
10,names,"{""primary"":""Pettigrew & Associates""}","{""primary"":""Pettigrew and Associates""}"
10,categories,"{""primary"":""civil_engineers"",""alternate"":[""land_surveying"",""engineering_services"",""agricultural_engineering_service"",""structural_engineer"",""real_estate_service"",""b2b_agriculture_and_food"",""business_to_business""]}","{""primary"":""engineering_services"",""alternate"":[""land_surveying"",""commercial_industrial""]}"
10,confidence,0.77,0.9918379237288135
10,websites,"[""""]","[""http://www.pettigrew.us/""]"
10,socials,,"[""https://www.facebook.com/117203175006974""]"
10,emails,,
10,phones,"[""5753939827""]","[""+15753939827""]"
10,brand,"{""names"":{}}",
10,addresses,"[{""freeform"":""100 E Navajo Dr"",""locality"":""Hobbs"",""region"":""NM"",""country"":""US"",""postcode"":""88240""}]","[{""freeform"":""100 E Navajo Dr"",""locality"":""Hobbs"",""postcode"":""88240-9309"",""region"":""NM"",""country"":""US""}]"
11,names,"{""primary"":""Jeremiah's Italian Ice""}","{""primary"":""Jeremiah's Italian Ice""}"
11,categories,"{""primary"":""ice_cream_and_frozen_yoghurt"",""alternate"":[""restaurant""]}","{""primary"":""ice_cream_shop"",""alternate"":[""bakery"",""diner""]}"
11,confidence,0.77,0.9962614185921548
11,websites,"[""https://jeremiahsice.com/?y_source=1_MTAwNjkxNTI0My01NTktbG9jYXRpb24ud2Vic2l0ZQ%3D%3D""]","[""https://jeremiahsice.com/?y_source=1_MTAwNjkxNTI0My01NTktbG9jYXRpb24ud2Vic2l0ZQ%3D%3D""]"
11,socials,,"[""https://www.facebook.com/111067831985657""]"
11,emails,,
11,phones,"[""2057470443""]","[""+12057470443""]"
11,brand,"{""names"":{}}","{""names"":{""primary"":""Jeremiah's Italian Ice""}}"
11,addresses,"[{""freeform"":""790 Montgomery Highway Ste 106"",""locality"":""vestavia hills"",""region"":""AL"",""country"":""US"",""postcode"":""35216""}]","[{""freeform"":""790 Montgomery Hwy"",""locality"":""Vestavia Hills"",""postcode"":""35216-1872"",""region"":""AL"",""country"":""US""}]"
12,names,"{""primary"":""Murphy Express""}","{""primary"":""Murphy USA""}"
12,categories,"{""primary"":""convenience_store"",""alternate"":[""gas_station"",""automotive"",""retail""]}","{""primary"":""convenience_store"",""alternate"":[""gas_station"",""automotive"",""retail""]}"
12,confidence,0.77,0.77
12,websites,"[""http://www.murphyusa.com/""]","[""http://www.murphyusa.com/""]"
12,socials,,
12,emails,,
12,phones,"[""8033560950""]","[""8033560950""]"
12,brand,"{""names"":{}}","{""names"":{}}"
12,addresses,"[{""freeform"":""4448 Sunset Blvd"",""locality"":""Lexington"",""region"":""SC"",""country"":""US"",""postcode"":""29072""}]","[{""freeform"":""4448 Sunset Blvd"",""locality"":""Lexington"",""region"":""SC"",""country"":""US"",""postcode"":""29072""}]"
13,names,"{""primary"":""Certa Opportune Inc.""}","{""primary"":""Certa Opportune Inc.""}"
13,categories,"{""primary"":""sign_making""}","{""primary"":""sign_making"",""alternate"":[""graphic_designer"",""screen_printing_t_shirt_printing""]}"
13,confidence,0.77,0.9696941176470588
13,websites,"[""https://certaopportune.com/""]","[""http://www.certaopportune.ca/""]"
13,socials,,"[""https://www.facebook.com/437045240458850""]"
13,emails,,
13,phones,"[""4164094360""]","[""+14375517377""]"
13,brand,"{""names"":{}}",
13,addresses,"[{""freeform"":""2556 Central Avenue, Unit B"",""locality"":""Windsor"",""region"":""ON"",""country"":""CA"",""postcode"":""N8W 4J5""}]","[{""freeform"":""2556 Central Ave Unit B"",""postcode"":""N8W 4J5"",""country"":""CA""}]"
14,names,"{""primary"":""DTLR""}","{""primary"":""DTLR""}"
14,categories,"{""primary"":""shoe_store"",""alternate"":[""clothing_store"",""retail""]}","{""primary"":""shoe_store"",""alternate"":[""clothing_store"",""retail""]}"
14,confidence,0.77,0.77
14,websites,"[""""]","[""https://locations.dtlr.com/va/richmond/southside-plaza.html""]"
14,socials,,
14,emails,,
14,phones,"[""8045480798""]","[""8042327880""]"
14,brand,"{""names"":{}}","{""names"":{}}"
14,addresses,"[{""freeform"":""4740 S E Southside Plaza"",""locality"":""Richmond"",""region"":""VA"",""country"":""US"",""postcode"":""23224""}]","[{""freeform"":""4640 N Southside Plaza St"",""locality"":""Richmond"",""region"":""VA"",""country"":""US"",""postcode"":""23224""}]"
15,names,"{""primary"":""Burger King""}","{""primary"":""Burger King""}"
